on x=-23..22,y=-17..33,z=-1..44
on x=-25..23,y=-10..42,z=-38..13
on x=-35..12,y=-22..31,z=-45..6
on x=-42..8,y=-33..14,z=-47..-2
on x=-32..20,y=-28..18,z=-48..5
on x=-33..15,y=-5..49,z=-14..31
on x=-12..32,y=-12..42,z=-46..5
on x=-34..16,y=-32..15,z=-20..26
on x=-17..30,y=-46..-2,z=-33..21
on x=-14..30,y=-6..42,z=-12..32
off x=22..34,y=-41..-24,z=-3..11
on x=-1..43,y=-27..20,z=-32..15
off x=-38..-19,y=-35..-24,z=2..16
on x=-26..22,y=-18..34,z=-46..4
off x=19..35,y=-46..-30,z=32..44
on x=-37..12,y=-41..12,z=-11..37
off x=0..13,y=8..23,z=20..32
on x=-1..45,y=-26..27,z=-15..32
off x=-49..-34,y=-36..-20,z=19..28
on x=-37..16,y=-39..13,z=-42..6
on x=71108..82324,y=-12990..1074,z=7084..37958
on x=54324..74163,y=24374..44047,z=-29617..-14607
on x=31725..41876,y=-72772..-38779,z=-60478..-39992
on x=56336..64488,y=-21155..-4126,z=-68137..-36230
on x=-34237..-13682,y=-3697..20506,z=-86288..-77050
on x=60945..71712,y=-6828..14993,z=-56190..-16937
on x=-75388..-43367,y=-33393..-22134,z=-64032..-40296
on x=-17630..312,y=-85717..-73611,z=-27589..-12094
on x=-50603..-42571,y=-82656..-57725,z=4893..20013
on x=12299..32935,y=69095..90799,z=-5297..20465
on x=-72032..-41184,y=49384..61994,z=-28698..-21861
on x=-2724..5346,y=-46880..-33249,z=68629..74733
on x=-38260..-31917,y=-67977..-41911,z=-52078..-33469
on x=6595..30838,y=24973..46724,z=-80300..-54625
on x=-48770..-15017,y=-88869..-65864,z=-25872..-2614
on x=-26621..-16394,y=70749..88291,z=-27772..-2997
on x=1590..29448,y=-21579..-12515,z=71965..95913
on x=-43361..-18594,y=-76445..-72727,z=-26859..-71
on x=-46876..-29924,y=46546..68457,z=-33702..-22717
on x=25118..37891,y=-50046..-39524,z=-73660..-52711
on x=-61909..-39366,y=-11609..14744,z=37553..62591
on x=51354..84009,y=-41928..-23125,z=-26408..-9958
on x=-5035..3776,y=-41049..-22872,z=68661..94897
on x=-51917..-19418,y=-437..22590,z=52971..75013
on x=55005..76689,y=5256..32734,z=-54269..-19486
on x=36338..42735,y=-8427..11082,z=58380..72208
on x=-5267..25184,y=22857..43564,z=62477..86144
on x=-74757..-55790,y=-51905..-18378,z=22505..26128
on x=-78397..-68716,y=23958..33072,z=-20785..-11599
on x=17276..31217,y=38989..69284,z=36613..68356
on x=-93524..-60456,y=-10621..13890,z=-23227..-4345
on x=59464..88664,y=-37036..-14566,z=-2121..35311
on x=-52758..-31318,y=56968..68275,z=-36195..-11798
on x=-1482..16211,y=-94456..-74283,z=-29299..-1526
on x=-40313..-9308,y=-5070..26999,z=-88617..-72279
on x=56886..72920,y=-26068..-9306,z=20431..41133
on x=40689..68222,y=-56300..-36646,z=314..10509
on x=26742..46178,y=-19595..-5005,z=-84034..-60291
on x=-2344..10306,y=-82146..-71688,z=26221..47269
on x=35484..41713,y=-938..24317,z=-88973..-67348
on x=21398..46464,y=-23254..-11022,z=58349..73391
on x=34950..42919,y=-70363..-41698,z=29060..64432
on x=59287..86464,y=-965..22139,z=-33966..-19290
on x=-28043..-16395,y=-78955..-54495,z=-26967..58
