LRRLRRRLRLRLLRRLRLRLLRLRLRLLLLRRRLLRRRLRRRLRRRLLRLLRLRRLRLRLRRRLLLLRRLRLRRLRRLLRRRLRRLRLRRLRRLRRLRRLRLLRRLRRLLLLRLRLRRLLRRLLRRLRLLRLRRLRRLRRLRRRLRRLLLRRLRRRLRLRRRLLRLRRLRRRLRRLLRRRLRRLRLLRRLLRRLRRLRRRLRRLLRRLRRRLRLRLRLRLRLRRLRRLLRRRLRLRRLRRRLRLRLRLRLRLRRRLRRLRRRLLRRLRLLRRRLRRLRLLLLRRRLRRLRRRR

DRM = (DLQ, BGR)
PKD = (TNC, DKH)
FSM = (LKS, KPG)
NDS = (KGD, HNX)
KQQ = (DPF, GKD)
SBX = (DDL, MGH)
GCV = (KMG, GLP)
PCT = (JXN, XDR)
KHR = (QPK, FPQ)
FCK = (GLS, GGP)
MKR = (XPQ, TJX)
PFP = (RPR, LPS)
XPC = (SSS, FRX)
PTJ = (LSC, CND)
GVJ = (NRL, SHV)
QNF = (MBQ, GSR)
TMK = (DVM, BJM)
KTG = (QVG, LLX)
JMK = (BKF, XDK)
JQV = (DCM, RLT)
VFH = (FDD, GML)
XPN = (FKG, CXG)
GDX = (GRV, BPP)
GVP = (JLP, XNJ)
TCB = (RVR, QXQ)
DLP = (XDK, BKF)
FQG = (RMH, QHR)
XDD = (SMK, HMN)
TLL = (TVV, FXX)
NPT = (NGC, FQM)
XQK = (PQG, QTK)
DMQ = (RVS, KNQ)
QKR = (SJD, PLH)
XNV = (SJB, GCV)
SRP = (CDK, JFK)
FRP = (FFD, XPC)
PVC = (XVD, MGD)
DPP = (BFQ, XDD)
CNV = (LQC, JJH)
LLH = (CFP, BGF)
XCK = (VDX, GFC)
KGD = (LSF, FNK)
MJA = (FXB, QVX)
QLH = (KRM, KVD)
QCR = (TKN, RNB)
PSR = (FBL, HKJ)
MGK = (BVC, HVL)
PVK = (JRN, SMV)
JTD = (VNS, FGJ)
PMD = (HGN, NBM)
DRF = (CPR, RTX)
HJL = (CBR, VDR)
PPB = (GDX, DXB)
DVR = (LLT, GVJ)
JRN = (RLD, RSL)
NXM = (RBN, NVD)
RLV = (FRM, FJB)
SJB = (KMG, GLP)
KJM = (XJH, LQX)
GRB = (HHL, RGD)
LQC = (BMC, XSH)
NRB = (NQD, RFT)
SQH = (QJT, JXX)
JLX = (RJL, HHH)
HVR = (XPN, JFM)
FVD = (RXS, RHH)
KSX = (TCB, GDK)
GKJ = (TQF, HQJ)
HQL = (BMR, PBX)
QFP = (NJM, FSB)
TPH = (NXT, RKN)
SRL = (LSP, LFV)
SDL = (MGL, PSK)
MFX = (FSM, LQF)
RFT = (FLV, GMS)
BTG = (DRS, PVC)
HLR = (DSB, DPP)
DXB = (BPP, GRV)
NHS = (HQG, GVP)
GKK = (DCM, RLT)
MJT = (JNR, PGC)
KDS = (FFD, XPC)
TSS = (BGX, QQX)
FKC = (NBN, SJP)
HHQ = (GVP, HQG)
JKF = (QRR, GFD)
CXG = (SDD, TMN)
GCG = (TCC, TDT)
NQX = (DMQ, DPM)
GHX = (BJQ, CHJ)
JQC = (HNQ, RJF)
QBB = (GNH, XSC)
BJG = (VMH, FCN)
VMS = (KRX, VLQ)
GSF = (NQM, KBH)
JQQ = (PKD, GNB)
KFG = (BGX, QQX)
TTV = (SNB, JQF)
CXJ = (CND, LSC)
GGP = (PBH, XNG)
FCV = (NLP, QJK)
NSB = (KSX, SLL)
JBH = (RGK, NSS)
CQH = (HJL, FKR)
VRX = (HKJ, FBL)
HJZ = (QVX, FXB)
RLD = (BJP, RLV)
HHH = (PNJ, HPJ)
LSC = (NRP, DCF)
BVM = (RCG, QLL)
KGN = (PRB, MLT)
NTV = (MRQ, NHQ)
VXT = (VFH, MBX)
RLG = (MJQ, RNL)
JVX = (HJQ, FNV)
XGH = (HHK, JXT)
NHC = (HPX, LGG)
VPC = (XCL, HPQ)
HKJ = (RQC, TMK)
PGQ = (FTX, MNP)
MPF = (KNM, BJG)
MFT = (DRS, PVC)
XNG = (RCS, JNH)
RMH = (GHD, MPF)
PFM = (PGQ, XHJ)
TRN = (TCP, TCP)
NHP = (JMG, VGP)
JSK = (JBG, PVM)
FSB = (MGK, HTD)
BPR = (VFH, MBX)
RHM = (LHD, PTF)
PRV = (RJL, HHH)
GNC = (HVR, PSV)
PSV = (JFM, XPN)
KMG = (KDR, RTV)
RKL = (DPP, DSB)
GLN = (QJT, JXX)
FNK = (XXP, QDR)
JDP = (HVR, PSV)
HHD = (VPC, MDS)
XHJ = (MNP, FTX)
XVJ = (RGG, BCB)
DRH = (CDK, JFK)
BMC = (TTQ, KHR)
TCT = (JQD, QBB)
BCS = (HLV, MKR)
LFV = (GTL, NSX)
JCS = (JQC, NDG)
SBJ = (PHS, QMN)
HPZ = (DQD, PFP)
BFM = (PMD, JGB)
QBL = (KVC, TXK)
RGD = (NXH, KQQ)
PBX = (LBP, FPK)
FDD = (TCX, CSN)
RJT = (CQG, JSQ)
BMR = (FPK, LBP)
RBN = (DRF, VJB)
PHB = (NXR, LPM)
BPN = (PPX, PPX)
KVC = (NSF, TQK)
PXB = (GJH, JHM)
BCB = (NTR, KKB)
KXM = (NHS, HHQ)
VTT = (NCB, HCR)
SHP = (LQX, XJH)
RCG = (CLL, TCT)
LHG = (GSF, PRJ)
XCL = (JLX, PRV)
LXB = (RHH, RXS)
FKZ = (TJS, BJB)
NNH = (CFD, XMX)
NTD = (NCX, PVK)
DCF = (JHJ, VMN)
GJH = (JTD, CJD)
VBS = (CDQ, LFQ)
MGL = (GGB, QNN)
TXK = (NSF, TQK)
HRX = (QFP, BJR)
GMS = (GKJ, TNF)
RGA = (PFP, DQD)
KTS = (GSF, PRJ)
TPP = (VPC, MDS)
JNV = (BHV, XQK)
DXL = (HDP, KTG)
MBR = (GRS, GTG)
KVJ = (LPH, NGG)
HRG = (RNL, MJQ)
XHL = (JXF, FVH)
MMC = (FHM, HNF)
HGC = (SHT, HBF)
LPS = (NTV, CGR)
FKR = (CBR, VDR)
BHV = (PQG, QTK)
BKF = (SRP, DRH)
JMA = (BJB, TJS)
MPT = (HRX, VSD)
QHL = (NRB, HJG)
PDG = (KJM, SHP)
HFT = (HHQ, NHS)
SJD = (GPM, PPB)
NSF = (NRX, SRL)
MXG = (JVJ, BMF)
PHD = (BQK, VKV)
VBH = (TXK, KVC)
NJM = (HTD, MGK)
TVV = (LLH, HFB)
RPS = (GGQ, SNK)
HPR = (LJS, DJR)
FDR = (QKT, GRX)
LLT = (SHV, NRL)
VQC = (DPM, DMQ)
MJQ = (CLD, FCV)
BFG = (GJH, JHM)
GFS = (PMP, VXL)
LBP = (HRF, GRB)
BXC = (MFS, NRM)
CFD = (QMQ, HPR)
HPN = (JQC, NDG)
BBJ = (JTL, QQK)
VVL = (CDN, STB)
HFB = (CFP, BGF)
NNG = (XVP, CQH)
QKM = (KDS, FRP)
VJB = (CPR, RTX)
KQB = (XCK, BSF)
LKS = (LDJ, MXG)
GTL = (FVD, LXB)
PJS = (BGV, MLM)
KNM = (FCN, VMH)
FCN = (VGR, KHV)
RPJ = (XKD, BPM)
GLP = (KDR, RTV)
NXL = (VTS, SDL)
XDX = (MPT, FXH)
KRX = (DCD, DHH)
CTP = (CRQ, DPL)
SRG = (SKH, SLF)
QVX = (NDC, NPL)
XVK = (SNB, JQF)
RBT = (NSD, SBJ)
RXS = (FKC, JSS)
SFX = (PRB, MLT)
SRS = (FVH, JXF)
NRL = (RLG, HRG)
QKK = (PBX, BMR)
DPL = (PTQ, DBH)
PFD = (JQV, GKK)
VGR = (KMX, DVR)
FQX = (LHD, PTF)
LXT = (RHM, FQX)
JHV = (MBR, PHJ)
JNN = (VKG, SLT)
XDK = (DRH, SRP)
JBR = (BDR, GFS)
BNM = (VKG, SLT)
CJD = (VNS, FGJ)
FPK = (HRF, GRB)
PBH = (JNH, RCS)
FGV = (FDR, TMD)
LSF = (XXP, QDR)
RBM = (VHG, BDL)
TNF = (HQJ, TQF)
TRM = (JHT, BCG)
GBH = (XMJ, JFF)
DBH = (DSS, RQL)
PGB = (BXR, DXL)
QFR = (TDT, TCC)
HHL = (NXH, KQQ)
HGN = (BFG, PXB)
PXC = (BPN, BPN)
NDF = (VQC, NQX)
GSK = (BVV, SBX)
TCM = (VBS, HCN)
HTD = (BVC, HVL)
SHD = (MHG, HNG)
LQX = (QVF, LBV)
MSF = (FDF, VLP)
NRP = (VMN, JHJ)
TQF = (BXC, JCR)
MBX = (GML, FDD)
JCR = (MFS, NRM)
NTR = (PCN, RNT)
JHJ = (XMT, NPT)
SQX = (CDN, STB)
CSN = (GBJ, PGB)
GDJ = (GBM, GCJ)
XGL = (HJQ, FNV)
PLD = (BFL, BFL)
NRX = (LFV, LSP)
TFF = (HGQ, MJT)
JVJ = (TMS, HPK)
BSF = (VDX, GFC)
GML = (CSN, TCX)
BFJ = (GFD, QRR)
FGJ = (PGF, VMS)
TQK = (SRL, NRX)
GQD = (MDD, HLQ)
TJX = (XCG, DJH)
GRR = (LPM, NXR)
PTQ = (DSS, DSS)
HHK = (KLD, NNG)
FBR = (KXM, HFT)
RLT = (JMK, DLP)
PHL = (QHR, RMH)
DVM = (JTP, KDM)
MNF = (RPJ, RMF)
RMF = (BPM, XKD)
GGQ = (MFT, BTG)
CLD = (NLP, QJK)
NMR = (FNL, LXT)
CLX = (TRP, GMD)
QMQ = (DJR, LJS)
KDR = (PKC, NRF)
KKG = (VHG, BDL)
FBQ = (TPP, HHD)
QVV = (LNR, GSK)
VKV = (MFX, FDL)
HJG = (NQD, RFT)
XVD = (VXT, BPR)
NCX = (SMV, JRN)
